省份,剧种,BV号,视频进度(秒),弹幕内容
四川,川剧,BV11f421v74w,2337.539,哈哈哈哈哈哈，这俩出演观众视角了
四川,川剧,BV11f421v74w,953.871,好棒！之前只看到敫桂英在庙中痛苦问神的折子戏，现在终于能看到王魁这个渣男的下场了！
四川,川剧,BV11f421v74w,1706.818,眼眸含泪，楚楚动人
四川,川剧,BV11f421v74w,5995.498,这段立意真好
四川,川剧,BV11f421v74w,4390.193,玩多了的后果。。
四川,川剧,BV11f421v74w,1379.735,好美的扮相
四川,川剧,BV11f421v74w,3928.304,嗬还会撒娇呢
四川,川剧,BV11f421v74w,3968.357,这个姐姐演啥都好看
四川,川剧,BV11f421v74w,2902.076,原戏双鬼索命真的该
四川,川剧,BV11f421v74w,4538.943,三十六？？不会是小尼姑都睡了个遍吧我靠
四川,川剧,BV11f421v74w,2949.632,演得好
四川,川剧,BV11f421v74w,4391.651,怎么？申郎燃尽了？
四川,川剧,BV11f421v74w,4338.71,疑惑+不可置信的小眼神 好搞笑哦
四川,川剧,BV11f421v74w,1181.281,被权利迷住了，也没想挣脱
四川,川剧,BV11f421v74w,1544.5,敫桂英后来去庙里求海神做主，然后自缢了，京剧和河北梆子打神告庙讲的就是这，后来去阴间找判官，把王魁给抓走了
四川,川剧,BV11f421v74w,6180.238,熟悉的死法和台词
四川,川剧,BV11f421v74w,855.016,“请选择你的英雄”
四川,川剧,BV11f421v74w,3434.172,前面那个说喊老辈子的笑死我了哈哈哈哈哈哈哈哈哈
四川,川剧,BV11f421v74w,3543.058,好符合申桂升的人设哦
四川,川剧,BV11f421v74w,2038.735,不是不给东西，本身就不对，哪怕给东西也是补偿，所谓补偿还要看对方愿不愿意要
四川,川剧,BV11f421v74w,4648.806,玩死自己了
四川,川剧,BV11f421v74w,853.442,说真的，这个票价你就说是190-290，我都觉得值
四川,川剧,BV11f421v74w,2073.179,桂升探头ing
四川,川剧,BV11f421v74w,1941.427,这里不是真的想为奴为婢只是试探王魁的良心
四川,川剧,BV11f421v74w,6202.425,是那口咽回去的血吧
四川,川剧,BV11f421v74w,4548.613,真是辛苦你了哈
四川,川剧,BV11f421v74w,4808.243,第一次看人要噶了我笑疯了
四川,川剧,BV11f421v74w,1328.407,等会儿，合着这玩意儿，他连赎身都不给？？
四川,川剧,BV11f421v74w,1255.086,他竟然有良心！虽然不多
四川,川剧,BV11f421v74w,4354.441,《好福气》
四川,川剧,BV11f421v74w,6172.515,这个念的好听！
四川,川剧,BV11f421v74w,1458.065,这两下太像魂了
四川,川剧,BV11f421v74w,2071.866,哈哈哈哈哈吃瓜脸
四川,川剧,BV11f421v74w,1740.283,唱得我心都碎了
四川,川剧,BV11f421v74w,4926.904,这对吗？
四川,川剧,BV11f421v74w,3029.603,这词好熟，在乡坝头吃席的时候，好像听“知客使”讲过
四川,川剧,BV11f421v74w,2386.265,沉浸式互动式戏曲节目
四川,川剧,BV11f421v74w,796.372,穿大褂的两位演员，是不是类似“第四堵墙”的作用？
四川,川剧,BV11f421v74w,262.253,两位经典的“胖瘦头陀”形象组。
四川,川剧,BV11f421v74w,713.623,每个人的动作都是招牌动作
四川,川剧,BV11f421v74w,2758.033,哈哈哈，这表情
四川,川剧,BV11f421v74w,4183.299,这屏也是开上了
四川,川剧,BV11f421v74w,4146.581,情绪做好递进不会感觉答应很快的，也不完全受舞台时间限制
四川,川剧,BV11f421v74w,3926.365,啊啊啊承包这个撒娇，想到我陆
四川,川剧,BV11f421v74w,3421.557,这个设计好有意思
四川,川剧,BV11f421v74w,2526.778,月老的同行叫冰人
四川,川剧,BV11f421v74w,1379.179,这么有意思的戏，胜过大部分新编戏
四川,川剧,BV11f421v74w,661.907,警幻仙姑
四川,川剧,BV11f421v74w,5938.248,红楼梦
四川,川剧,BV11f421v74w,683.398,太虚幻境就是红楼梦
四川,川剧,BV11f421v74w,694.003,请看VCR
四川,川剧,BV11f421v74w,559.339,申贵升你是真风流啊
四川,川剧,BV11f421v74w,293.963,这一身真好看，比现在那些渐变好看多了
四川,川剧,BV11f421v74w,207.353,这段是表现皮影戏吗
四川,川剧,BV11f421v74w,3328.251,原著是结婚之后因为绿娥太漂亮了，结果姚安一直怀疑她有外遇
四川,川剧,BV11f421v74w,5788.236,把仙姑都气笑了
四川,川剧,BV11f421v74w,4238.531,表情好到位
四川,川剧,BV11f421v74w,4568.459,申桂升（肾亏生）
四川,川剧,BV11f421v74w,2959.222,不如新出的那个说明他进步了哈哈
四川,川剧,BV11f421v74w,5328.911,姚安是真的好美啊！（虽渣但坏
四川,川剧,BV11f421v74w,6068.1,忘情，无情，滥情
四川,川剧,BV11f421v74w,6184.741,突然发现因为往身前喷了血，所以往后倒就不会弄脏戏服
四川,川剧,BV11f421v74w,3980.605,好会撒娇，遭不住遭不住
四川,川剧,BV11f421v74w,4338.914,申哥，你是真不挑食啊
四川,川剧,BV11f421v74w,1851.1,女鬼：你不念旧情？我也不念了！
四川,川剧,BV11f421v74w,3798.096,优尼应该是应该就是那种秀美年轻漂亮的尼姑吧
四川,川剧,BV11f421v74w,1307.589,真是，易求无价宝，难得有情郎
四川,川剧,BV11f421v74w,866.724,点播，哈哈哈哈哈
