省份,剧种,BV号,标题,简介,播放量,点赞数,投币数,收藏数,弹幕总数,抓取时间
浙江,越剧,BV14U411U7gw,4K收藏｜陈丽君&李云霄｜《五女拜寿》（官摄完整版）,,370112,7631,2977,17506,3183,2026-04-04 18:59:10
浙江,越剧,BV1Mu411U7D6,【全字幕】高清越剧《珍珠塔》张宇峰 盛舒扬 陶钻怡 蔡燕 李旭丹等,"·给念白加了字幕，字体字号按原字幕设置的 ·修改了原字幕的错别字 ·裁剪并调亮了原视频",236133,1308,665,3067,1268,2026-04-04 18:59:26
浙江,越剧,BV1gQ4y1K7RE,【高清越剧】《西厢记》方亚芬 钱惠丽 张咏梅 吴群（河猫小剧场）,1.5g的视频加了个水印用pr一导出就11.4g了，太强了 横纹的反交错我尝试了，格式工厂,168456,3648,1105,8016,3311,2026-04-04 18:59:41
河南,豫剧,BV1j44y1W757,豫剧合集,妈妈喜欢听戏剧，发给妈妈看的,1066464,8129,1675,19071,1249,2026-04-04 19:00:00
河南,豫剧,BV1Vs41117yJ,【豫剧】穆桂英挂帅,河南豫剧院青年团演出。,308985,2427,673,3813,1902,2026-04-04 19:00:15
河南,豫剧,BV13L411t7MQ,【豫剧】《秦香莲》（《铡美案》《包青天》）全本-张钰东  董芙蓉  完整全字幕版,豫剧张钰东版《包青天》完整版，原版视频念白部分没有字幕，缺少的字幕已经补上，打开进度条右边的“字幕”选项即可。 如有需要，视频尽可下载，不用来问，直接下载就行❤️,212817,3635,1223,3730,2429,2026-04-04 19:00:30
河南,豫剧,BV1VjKUztEL5,河南豫剧《对花枪》柏青,,8197,46,8,139,0,2026-04-04 19:00:46
河南,豫剧,BV1uPhizLEZy,豫剧《打金枝》— 全网最清晰完整高清修复｜刘忠河，黄爱菊，张卫华，90年代经典版,【版本特点｜全网最清晰 1080P】 以90年代VCD为底本，累计两百多个小时逐帧清噪、校色、细节回填与对照复检；在“更清晰”和“老味道”之间尽量平衡。音频做轻度降噪，并额外提供去人声伴奏轨；对白加入字幕，方便年轻观众理解。  【观看提示】 ① 本视频为完整高清修复（1080P）；   ② 伴奏版入口：见本视频结尾 / 置顶评论；   ③ 后续将上线“名段切片”合集，欢迎评论区点名你最想看的段落。  【致敬与声明】 向刘忠河老师与商丘市豫剧团致敬。修复仅用于传承与交流，若有疏漏欢迎指正。 如果你也珍惜这段经典，拜托一键三连（点赞/投币/收藏）,126533,3938,1048,2855,218,2026-04-04 19:00:53
陕西,秦腔,BV1m4411X7DK,秦腔全本合集，爷的欢乐生活必备,https://v.youku.com/v_show/id_XMTMwOTE3NDYyMA==.html?spm=a2h0z.8244218.2371631.3&f=22131312 村里老人爱听戏，给老人下载后觉得删了可惜，传上来有需要的小伙伴可以拿去孝敬老人。 破站上传太慢，先传这些，后续抽空补全。,632083,10011,3590,20237,2985,2026-04-04 19:01:11
陕西,秦腔,BV1Xg411Q7Zw,【超清音画质】本站秦腔名场面《五典坡·赶坡》窦凤琴 丁良生主演,www.cdzfsqbsqj.com ...,173815,2954,812,3491,1324,2026-04-04 19:01:26
陕西,秦腔,BV1rb4y127f7,【秦腔高清】康亚婵版《黑叮本》 真的高清,喜欢就好,247921,6486,2330,9246,5704,2026-04-04 19:01:44
